"TITOLO","EPISODIO","DATA","TIPO","LIKE","COMMENTI","CONDIVISIONI","VISUALIZZAZIONI (per i video)","ASHTAG"
"Serie 3",,19/12/15,"FOTO",27000,148,144,,"#HTGAWM #KarlaSouza #AjaKing"
"Serie 3",,22/12/15,"FOTO",32000,410,304,,"#HTGAWM"
"Serie 3",,24/12/15,"LINK",502,33,25,,"#HTGAWM"
"Serie 3",,25/12/15,"VIDEO",15000,253,349,108000,"#TGIT #HTGAWM"
"Serie 3",,25/12/15,"LINK",4800,27,80,,"#HTGAWM"
"Serie 3",,27/12/15,"FOTO",48000,557,420,,"#HTGAWM"
"Serie 3",,31/12/15,"GIF",9200,166,288,,"#HTGAWM"
"Serie 3",,01/01/16,"FOTO",61000,651,906,,"#HTGAWM"
"Serie 3",,03/01/16,"GIF",19000,937,919,,"#HTGAWM"
"Serie 3",,05/01/16,"VIDEO",16000,452,1047,232000,"#HTGAWM"
"Serie 3",,07/01/16,"FOTO",41000,837,631,,"#HTGAWM"
"Serie 3",,08/01/16,"VIDEO",21000,1866,3595,316000,"#TGIT #HTGAWM"
"Serie 3",,09/01/16,"LINK",10000,382,,,
"Serie 3",,10/01/16,"LINK",1200,13,51,,"#HTGAWM"
"Serie 3",,11/01/16,"FOTO",21000,518,1,,"#HTGAWM"
"Serie 3",,11/01/16,"FOTO",32000,391,267,,"#HTGAWM"
"Serie 3",,12/01/16,"FOTO",6400,305,647,,"#TGIT #HTGAWM"
"Serie 3",,13/01/16,"FOTO",40000,963,485,,"#CharlieWeber #HTGAWM"
"Serie 3",,13/01/16,"FOTO",5100,124,199,,"#HTGAWM"
"Serie 3",,14/01/16,"FOTO",38000,558,360,,"#KarlaSouza #AlfredEnoch #HTGAWM"
"Serie 3",,15/01/16,"LINK",1900,92,96,,"#HTGAWM"
"Serie 3",,17/01/16,"FOTO",50000,343,407,,"#HTGAWM"
"Serie 3",,19/01/16,"FOTO",34000,731,1111,,"#TGIT #HTGAWM"
"Serie 3",,21/01/16,"VIDEO",45000,5594,12677,1100000,"#HTGAWM #TGIT #WholsChristophe"
"Serie 3",,24/01/16,"LINK",6800,113,173,,"#HTGAWM"
"Serie 3",,24/01/16,"FOTO",49000,503,438,,"#HTGAWM"
"Serie 3",,25/01/16,"FOTO",1400,22,,,"#PGAAwards"
"Serie 3",,28/02/16,"FOTO",14000,146,248,,"#HTGAWM"
"Serie 3",,28/01/16,"VIDEO",21000,2471,6097,409000,"#TGIT #HTGAWM"
"Serie 3",,30/01/16,"GIF",10000,293,276,,"#WholeSChristophe #HTGAWM"
"Serie 3",,30/01/16,"FOTO",17000,283,505,,"#HTGAWM"
"Serie 3",,31/01/16,"FOTO",121000,1841,4297,,"#SAGAward #HTGAWM"
"Serie 3",,31/01/16,"FOTO",23000,452,328,,"#HTGAWM"
"Serie 3",,02/02/16,"GIF",13000,730,1063,,"#HTGAWM #WholsChristophe #TGIT"
"Serie 3",,04/02/16,"FOTO",17000,598,1557,,"#HTGAWM #WholsChristophe"
"Serie 3",,04/02/16,"VIDEO",57000,3025,9459,1800000,"#HTGAWM"
"Serie 3",,05/02/16,"LINK",9500,156,347,,"#HTGAWM"
"Serie 3",,06/02/16,"VIDEO",50000,5331,23530,1300000,"#TGIT #HTGAWM"
"Serie 3",,06/02/16,"LINK",1900,54,75,,"#HTGAWM"
"Serie 3",,06/02/16,"LINK",1000,33,26,,"#TGIT #HTGAWM"
"Serie 3",,06/02/16,"VIDEO",22000,521,2298,508000,"#TGIT #HTGAWM"
"Serie 3",,07/02/16,"VIDEO",8200,91,380,112000,"#TeamKeating #HTGAWM #TGIT"
"Serie 3",,07/02/16,"VIDEO",33000,2695,5519,767000,"#HTGAWM"
"Serie 3",,08/02/16,"FOTO",23000,454,981,," #HTGAWM #TGIT"
"Serie 3",,09/02/16,"FOTO",19000,241,360,,"#HTGAWM #TGIT"
"Serie 3",,10/02/16,"VIDEO",30000,2121,4489,463000,"#HTGAWM"
"Serie 3",,10/02/16,"FOTO",87000,1483,4096,,"#HTGAWM"
"Serie 3",,10/02/16,"LINK",3300,82,185,,"#HTGAWM"
"Serie 3",,10/02/16,"VIDEO",4400,232,515,35000,"#TGIT #HTGAWM"
"Serie 3",,10/02/16,"FOTO",914,65,49,,"#TGIT #HTGAWM"
"Serie 3","10x2",11/02/16,"VIDEO",49000,2329,10383,1200000,"#HTGAWM"
"Serie 3",,11/02/16,"VIDEO",8200,580,1535,,"#TGIT #HTGAWM"
"Serie 3",,11/02/16,"LINK",3600,77,,,"#TGIT #SCANDAL #HTGAWM"
"Serie 3",,11/02/16,"VIDEO",7500,767,1473,92000,"#TGIT #HTGAWM"
"Serie 3",,11/02/16,"LINK",1200,32,,,"#HTGAWM #AlfredEnoch #TheChew"
"Serie 3",,11/02/16,"LINK",1000,18,,,
"Serie 3",,11/02/16,"VIDEO",1500,126,272,25000,"#TGIT #HTGAWM"
"Serie 3",,12/02/16,"VIDEO",12000,3700,646,982000,"#TGIT #HTGAWM"
"Serie 3",,12/02/16,"FOTO",19000,364,371,,"#HTGAWM"
"Serie 3",,12/02/16,"FOTO",23000,897,421,,"#HTGAWM"
"Serie 3",,12/02/16,"VIDEO",11000,467,599,185000,"#HTGAWM"
"Serie 3",,12/02/16,"LINK",583,26,,,"#TGIT #HTGAWM"
"Serie 3",,13/02/16,"LINK",698,26,51,,
"Serie 3",,13/02/16,"LINK",6800,126,127,,"#ValentinesDay #HTGAWM"
"Serie 3",,13/02/16,"VIDEO",13000,437,808,222000,"#HTGAWM"
"Serie 3",,14/02/16,"VIDEO",1500,66,71,23000,"#HTGAWM"
"Serie 3",,14/02/16,"FOTO",13000,125,285,,"#HTGAWM"
"Serie 3",,14/02/16,"FOTO",1100,26,30,,"#HTGAWM"
"Serie 3",,15/02/16,"VIDEO",18000,1115,1555,455000,"#HTGAWM"
"Serie 3",,15/02/16,"VIDEO",4600,134,209,55000,"#HTGAWM"
"Serie 3",,16/02/16,"LINK",2400,36,50,,"#HTGAWM"
"Serie 3",,17/02/16,"FOTO",16000,278,186,,"#HTGAWM"
"Serie 3",,17/02/16,"VIDEO",9100,168,357,148000,"#HTGAWM"
"Serie 3","11x2",18/02/16,"FOTO",2000,25,39,,"#HTGAWM"
"Serie 3",,18/02/16,"GIF",5100,93,181,,"#NationalDrinkWineDay #HTGAWM #TGIT"
"Serie 3",,18/02/16,"VIDEO",3100,163,494,57000,"#HTGAWM"
"Serie 3",,19/02/16,"FOTO",26000,139,189,,"#HTGAWM"
"Serie 3",,19/02/16,"FOTO",14000,384,212,,"#HTGAWM"
"Serie 3",,19/02/16,"FOTO",10000,139,391,,"#HTGAWM"
"Serie 3",,19/02/16,"FOTO",13000,481,336,,"#HTGAWM"
"Serie 3",,19/02/16,"LINK",568,13,17,10000,"#TGIT #HTGAWM"
"Serie 3",,19/02/16,"VIDEO",15000,914,921,265000,"#HTGAWM"
"Serie 3",,20/02/16,"FOTO",95000,2167,3870,,"#HTGAWM"
"Serie 3",,20/02/16,"VIDEO",14000,195,572,178000,"#HTGAWM"
"Serie 3",,20/02/16,"VIDEO",14000,759,1522,284000,"#HTGAWM"
"Serie 3",,21/02/16,"VIDEO",6300,153,139,143000,"#HTGAWM"
"Serie 3",,21/02/16,"FOTO",1100,23,11,,"#TGIT #Disneyland60"
"Serie 3",,22/02/16,"LINK",1000,34,21,,"#HTGAWM"
"Serie 3",,23/02/16,"FOTO",11000,99,530,,"#HTGAWM"
"Serie 3",,23/02/16,"LINK",1500,34,59,,"#HTGAWM"
"Serie 3",,23/02/16,"FOTO",9700,166,103,,"#HTGAWM"
"Serie 3",,24/02/16,"VIDEO",7500,212,422,166000,"#HTGAWM"
"Serie 3",,24/02/16,"FOTO",13000,284,239,,"#HTGAWM"
"Serie 3",,24/02/16,"FOTO",56000,502,826,,"#TGIT #HTGAWM"
"Serie 3","12x2",25/02/16,"VIDEO",17000,579,1024,240000,"#Keating5 #HTGAWM"
"Serie 3",,25/02/16,"VIDEO",18000,603,1672,1100000,"#TGIT #HTGAWM"
"Serie 3",,25/02/16,"VIDEO",5100,186,384,464000,"#TGIT #HTGAWM"
"Serie 3",,25/02/16,"LINK",856,17,,,
"Serie 3",,26/02/16,"FOTO",1700,52,38,,"#HTGAWM"
"Serie 3",,26/02/16,"VIDEO",1700,174,98,20000,"#HTGAWM"
"Serie 3",,26/02/16,"FOTO",4700,328,206,,"#HTGAWM"
"Serie 3",,26/02/16,"VIDEO",13000,965,855,220000,"#OMG #HTGAWM"
"Serie 3",,26/02/16,"FOTO",9900,88,58,,"#FashionFriday #HTGAWM"
"Serie 3",,27/02/16,"GIF",9600,232,310,,"#HTGAWM"
"Serie 3",,27/02/16,"VIDEO",17000,1583,1497,344000,"#HTGAWM"
"Serie 3",,27/02/16,"VIDEO",11000,269,362,186000,"#HTGAWM"
"Serie 3",,28/02/16,"VIDEO",3500,98,90,48000,"#Coliver #HTGAWM"
"Serie 3",,28/02/16,"FOTO",26000,2794,1059,,"#HTGAWM"
"Serie 3",,28/02/16,"FOTO",13000,85,235,,"#HTGAWM"
"Serie 3",,28/02/16,"VIDEO",722,11,2,,"#Oscars"
"Serie 3",,29/02/16,"FOTO",76000,785,1487,,"#SquadGoals #HTGAWM"
"Serie 3",,29/02/16,"VIDEO",14000,1205,517,205000,"#HTGAWM"
"Serie 3",,01/03/16,"VIDEO",11000,290,390,216000,"#HTGAWM"
"Serie 3",,01/03/16,"GIF",3400,141,90,,"#HTGAWM"
"Serie 3",,02/03/16,"FOTO",13000,296,306,,"#HTGAWM"
"Serie 3",,02/03/16,"LINK",4600,72,71,,"#Keating5 #HTGAWM"
"Serie 3",,02/03/16,"LINK",6800,143,160,,"#HTGAWM"
"Serie 3","13x2",03/03/16,"FOTO",15000,145,248,,"#HTGAWM"
"Serie 3",,03/03/16,"VIDEO",5500,431,576,83000,"#TGIT #HTGAWM"
"Serie 3",,03/03/16,"FOTO",12000,107,157,,"#TGIT #HTGAWM"
"Serie 3",,04/03/16,"FOTO",50000,819,2174,,"#HTGAWM"
"Serie 3",,04/03/16,"VIDEO",8800,205,476,191000,"#HTGAWM"
"Serie 3",,04/03/16,"FOTO",1600,33,24,,"#TGIT #HTGAWM"
"Serie 3",,04/03/16,"GIF",14000,326,517,,"#HTGAWM"
"Serie 3",,04/03/16,"FOTO",16000,426,403,,"#HTGAWM"
"Serie 3",,04/03/16,"LINK",1000,34,39,,"#HTGAWM"
"Serie 3",,04/03/16,"VIDEO",13000,823,749,214000,"#HTGAWM"
"Serie 3",,05/03/16,"VIDEO",14000,595,890,209000,"#HTGAWM"
"Serie 3",,05/03/16,"FOTO",27000,106,102,,"#HTGAWM"
"Serie 3",,06/03/16,"VIDEO",8900,760,1068,117000,"#HTGAWM"
"Serie 3",,06/03/16,"VIDEO",16000,522,1476,212000,"#HTGAWM"
"Serie 3",,06/03/16,"FOTO",6100,131,73,,"#Flaurel #HTGAWM"
"Serie 3",,06/03/16,"VIDEO",5300,102,123,71000,"#HTGAWM"
"Serie 3",,07/03/16,"GIF",8200,908,538,,"#MCM #HTGAWM"
"Serie 3",,07/03/16,"LINK",3400,48,52,,"#HTGAWM"
"Serie 3",,08/03/16,"FOTO",8300,70,100,,"#HTGAWM"
"Serie 3",,08/03/16,"FOTO",37000,169,483,," #HTGAWM #InternationalWomensDay"
"Serie 3",,09/03/16,"VIDEO",11000,246,326,199000,"#Keating #HTGAWM"
"Serie 3",,09/03/16,"LINK",3700,57,79,,"#HTGAWM"
"Serie 3",,09/03/16,"FOTO",1800,42,50,,"#HTGAWM"
"Serie 3","14x2",10/03/16,"GIF",5400,122,127,,"#TGIT #HTGAWM"
"Serie 3",,10/03/16,"VIDEO",4900,446,730,87000,"#TGIT #HTGAWM"
"Serie 3",,10/03/16,"VIDEO",5800,203,226,116000,"#TGIT #HTGAWM"
"Serie 3",,11/03/16,"FOTO",3700,61,50,,"#TGIT #HTGAWM"
"Serie 3",,11/03/16,"FOTO",31000,606,1809,,
"Serie 3",,11/03/16,"FOTO",11000,288,141,,
"Serie 3",,11/03/16,"TESTO",14000,636,466,,"#HTGAWM"
"Serie 3",,11/03/16,"VIDEO",4200,50,82,105000,
"Serie 3",,11/03/16,"FOTO",11000,291,229,,
"Serie 3",,11/03/16,"VIDEO",15000,1787,658,320000,"#HTGAWM"
"Serie 3",,11/03/16,"VIDEO",14000,901,1390,386000,
"Serie 3",,12/03/16,"FOTO",2800,26,18,,"#HTGAWM"
"Serie 3",,12/03/16,"FOTO",14000,126,535,,"#HTGAWM"
"Serie 3",,13/03/16,"VIDEO",11000,292,388,213000,"#HTGAWM"
"Serie 3",,13/03/16,"FOTO",25000,372,1003,,
"Serie 3",,14/03/16,"VIDEO",14000,1155,1791,327000,"#HTGAWM"
"Serie 3",,15/03/16,"LINK",4600,131,115,,"#HTGAWM"
"Serie 3",,15/03/16,"LINK",770,20,26,,"#HTGAWM"
"Serie 3",,15/03/16,"FOTO",6200,99,183,,"#HTGAWM"
"Serie 3",,15/03/16,"VIDEO",7900,357,364,150000,"#HTGAWM"
"Serie 3",,16/03/16,"FOTO",4700,184,230,,"#HTGAWM"
"Serie 3",,16/03/16,"LINK",4300,88,139,,"#HTGAWM"
"Serie 3",,16/03/16,"FOTO",28000,965,1043,,"#HTGAWM"
"Serie 3",,16/03/16,"LINK",5200,140,235,,"#HTGAWM"
"Serie 3","15x2",17/03/16,"VIDEO",4900,315,476,61000,"#HTGAWM"
"Serie 3",,17/03/16,"LINK",5200,220,295,,"#HTGAWM"
"Serie 3",,17/03/16,"VIDEO",5500,225,430,78000,"#HTGAWM"
"Serie 3",,18/03/16,"VIDEO",3900,203,213,34000,"#HTGAWM"
"Serie 3",,18/03/16,"VIDEO",5500,446,285,133000,
"Serie 3",,18/03/16,"VIDEO",14000,1750,3833,320000,"#HTGAWM"
"Serie 3",,18/03/16,"FOTO",4700,136,183,,"#CicelyTyson"
"Serie 3",,18/03/16,"FOTO",29000,1975,1937,,
"Serie 3",,18/03/16,"LINK",61000,1867,2595,,"#HTGAWM"
"Serie 3",,18/03/16,"VIDEO",14000,519,899,226000,"#HTGAWM"
"Serie 3",,18/03/16,"LINK",764,36,31,,"#HTGAWM"
"Serie 3",,18/03/16,"VIDEO",16000,1157,1344,273000,"#HTGAWM"
"Serie 3",,19/03/16,"LINK",4100,144,153,,
"Serie 3",,19/03/16,"VIDEO",13000,348,522,190000,"#HTGAWM"
"Serie 3",,20/03/16,"VIDEO",11000,383,401,184000,"#HTGAWM"
"Serie 3",,20/03/16,"LINK",2500,98,151,,"#HTGAWM"
"Serie 3",,21/03/16,"LINK",5900,65,141,,"#HTGAWM"
"Serie 3",,21/03/16,"FOTO",8400,88,196,,
"Serie 3",,22/03/16,"LINK",282,15,,,"#TheCatch #TGIT"
"Serie 3",,23/03/16,"FOTO",20000,400,385,,"#NationalPuppyDay #HTGAWM"
"Serie 3",,24/03/16,"VIDEO",1500,76,78,43000,"#HTGAWM"
"Serie 3",,25/03/16,"VIDEO",3500,103,88,101000,"#BestOfTGIT #ReadyForAnything"
"Serie 3",,27/03/16,"LINK",447,27,26,,"#HTGAWM"
"Serie 3",,29/03/16,"LINK",1700,31,65,,"#HTGAWM"
"Serie 3",,30/03/16,"FOTO",10000,80,200,,"#HTGAWM"
"Serie 3",,02/04/16,"FOTO",40000,206,325,,"#FlashbackFriday #Keating"
"Serie 3",,04/04/16,"VIDEO",8300,336,298,192000,"#MCM"
"Serie 3",,08/04/16,"VIDEO",2800,36,55,97000,"#BestOfTGIT #ReadyForAnything"
"Serie 3",,09/04/16,"VIDEO",11000,436,511,210000,
"Serie 3",,10/04/16,"FOTO",18000,178,538,,
"Serie 3",,12/04/16,"FOTO",36000,596,259,,
"Serie 3",,14/04/16,"VIDEO",7700,255,147,151000,"#HTGAWM"
"Serie 3",,17/04/16,"FOTO",20000,361,725,,
"Serie 3",,20/04/16,"GIF",5900,105,188,,"#HTGAWM"
"Serie 3",,22/04/16,"GIF",20000,822,3001,,"#HappyFriday"
"Serie 3",,25/04/16,"VIDEO",5300,139,331,115000,"#MondatMotivation"
"Serie 3",,29/04/16,"GIF",4500,66,109,,"#InternationalDancheDaY"
"Serie 3",,01/05/16,"VIDEO",1100,50,27,18000,
"Serie 3",,05/05/16,"FOTO",15000,167,230,,"#ThrowbackThursday"
"Serie 3",,06/05/16,"GIF",5900,129,285,,"#Fridayfeeling"
"Serie 3",,12/05/16,"FOTO",12000,104,1743,,"#WednesdayWisdom"
"Serie 3",,13/05/16,"GIF",3300,43,79,,
"Serie 3",,14/05/16,"VIDEO",13000,223,436,215000,
"Serie 3",,20/05/16,"VIDEO",28000,698,1601,340000,"#TBT #Keating5"
"Serie 3",,20/05/16,"VIDEO",3900,79,90,91000,"#BestOfTGIT #ReadyForAnything"
"Serie 3",,22/05/16,"VIDEO",6200,180,230,122000,"#HTGAWM"
"Serie 3",,25/05/16,"GIF",3200,29,49,,"#Keating5 #NationalwineDay"
"Serie 3",,26/05/16,"VIDEO",9700,242,448,158000,"#TBT"
"Serie 4",,17/11/15,"FOTO",388,50,58,,"#TheCatch"
"Serie 4",,03/02/16,"LINK",740,61,112,,"#TheCatch"
"Serie 4",,05/02/16,"FOTO",666,42,71,,"#TheCatch"
"Serie 4",,07/02/16,"FOTO",325,7,18,,"#TheCatch"
"Serie 4",,08/02/16,"FOTO",85,3,5,,"#TheCatch"
"Serie 4",,20/02/16,"FOTO",327,13,15,,"#TheCatch"
"Serie 4",,23/02/16,"FOTO",303,12,12,,"#TheCatch"
"Serie 4",,24/02/16,"VIDEO",159,7,27,2600,"#TheCatch"
"Serie 4",,28/02/16,"FOTO",180,6,18,,"#TheCatch #Oscars"
"Serie 4",,29/02/16,"VIDEO",977,85,164,288000,"#TheCatch"
"Serie 4",,01/03/16,"FOTO",165,,5,,"#TheCatch"
"Serie 4",,08/03/16,"LINK",255,18,28,,"#TheCatch"
"Serie 4",,09/03/16,"VIDEO",248,12,34,45000,"#TheCatch"
"Serie 4",,10/03/16,"VIDEO",2400,89,486,896000,"#TheCatch"
"Serie 4",,11/03/16,"LINK",494,22,76,,
"Serie 4",,12/03/16,"VIDEO",255,16,33,7000,
"Serie 4",,13/03/16,"FOTO",188,10,18,,"#TheCatch"
"Serie 4",,15/03/16,"VIDEO",94,2,5,2000,
"Serie 4",,16/03/16,"LINK",486,12,46,,
"Serie 4",,17/03/16,"VIDEO",436,4,40,4100,"#TGIT #TheCatch"
"Serie 4",,18/03/16,"FOTO",88,1,4,,"#TheCatch"
"Serie 4",,19/03/16,"VIDEO",383,20,56,4700,"#TGIT #TheCatch"
"Serie 4",,20/03/16,"VIDEO",151,5,18,2000,
"Serie 4",,21/03/16,"VIDEO",196,7,33,4200,
"Serie 4",,21/03/16,"FOTO",120,8,13,,"#TheCatch #TGIT #ShondalandRevealed"
"Serie 4",,21/03/16,"VIDEO",137,6,17,3300,"#TheCatch "
"Serie 4",,22/03/16,"FOTO",103,5,35,,"#TheCatch"
"Serie 4",,22/03/16,"VIDEO",167,12,32,143000,
"Serie 4",,22/03/16,"VIDEO",91,7,27,87000,"#TheCatch"
"Serie 4",,23/03/16,"FOTO",155,13,19,,"#TheCatch"
"Serie 4",,23/03/16,"LINK",776,28,72,,"#TGIT "
"Serie 4",,23/03/16,"VIDEO",221,12,25,2200,"#TheCatch"
"Serie 4","1x1",24/03/16,"FOTO",134,9,14,,"#TheCatch"
"Serie 4",,24/03/16,"FOTO",176,17,23,,"#TheCatch"
"Serie 4",,25/03/16,"FOTO",362,55,18,,"#TheCatch"
"Serie 4",,25/03/16,"VIDEO",563,45,25,11000,
"Serie 4",,25/03/16,"VIDEO",894,71,43,12000,
"Serie 4",,25/03/16,"FOTO",1800,125,59,,
"Serie 4",,25/03/16,"VIDEO",748,86,51,13000,
"Serie 4",,25/03/16,"LINK",426,80,63,,"#TheCatch"
"Serie 4",,26/03/16,"VIDEO",1400,68,69,19000,
"Serie 4",,27/03/16,"VIDEO",390,20,30,4800,
"Serie 4",,27/03/16,"LINK",2900,138,127,,
"Serie 4",,28/03/16,"FOTO",24,39,568,,
"Serie 4",,29/03/16,"LINK",1600,78,58,,
"Serie 4",,29/03/16,"LINK",162,4,4,,
"Serie 4",,30/03/16,"FOTO",2300,83,40,,
"Serie 4",,30/03/16,"VIDEO",1100,35,98,12000,"#TheCatch"
"Serie 4",,30/03/16,"VIDEO",773,38,40,13000,"#TheCatch"
"Serie 4","2x1",31/03/16,"LINK",294,17,39,,"#TGIT #TheCatch"
"Serie 4",,31/03/16,"GIF",417,15,50,,"#TheCatch"
"Serie 4",,31/03/16,"FOTO",525,39,71,,"#TheCatch"
"Serie 4",,01/04/16,"FOTO",923,38,42,,
"Serie 4",,01/04/16,"FOTO",1000,40,21,,
"Serie 4",,01/04/16,"FOTO",903,27,21,,
"Serie 4",,01/04/16,"FOTO",1600,43,43,,
"Serie 4",,01/04/16,"VIDEO",899,27,21,11000,
"Serie 4",,01/04/16,"LINK",1100,41,41,,"#TheCatch"
"Serie 4",,02/04/16,"LINK",773,26,32,,"#TheCatch"
"Serie 4",,03/04/16,"GIF",366,19,14,,
"Serie 4",,03/04/16,"VIDEO",394,18,13,4700,
"Serie 4",,04/04/16,"VIDEO",436,7,34,4900,
"Serie 4",,05/04/16,"LINK",402,16,12,,
"Serie 4",,05/04/16,"FOTO",3000,65,57,,
"Serie 4",,06/04/16,"LINK",455,17,25,,"#TheCatch"
"Serie 4",,06/04/16,"LINK",906,13,31,,
"Serie 4","3x1",07/04/16,"VIDEO",907,14,32,13000,
"Serie 4",,08/04/16,"FOTO",801,19,18,,
"Serie 4",,08/04/16,"FOTO",2100,86,82,,
"Serie 4",,08/04/16,"VIDEO",1800,88,84,24000,
"Serie 4",,08/04/16,"LINK",395,18,19,,"#TheCatch"
"Serie 4",,09/04/16,"FOTO",664,11,50,,
"Serie 4",,09/04/16,"VIDEO",2200,72,106,24000,
"Serie 4",,10/04/16,"VIDEO",685,28,14,11000,
"Serie 4",,11/04/16,"VIDEO",850,25,18,9400,
"Serie 4",,12/04/16,"FOTO",1500,44,24,,
"Serie 4",,12/04/16,"LINK",220,3,5,,
"Serie 4",,13/04/16,"VIDEO",849,18,29,13000,
"Serie 4","4x1",14/04/16,"LINK",696,29,43,,"#TheCatch"
"Serie 4",,14/04/16,"VIDEO",1000,45,98,11000,"#TheCatch"
"Serie 4",,14/04/16,"LINK",1000,45,50,,
"Serie 4",,15/04/16,"FOTO",2400,113,60,,
"Serie 4",,15/04/16,"VIDEO",278,40,13,6400,
"Serie 4",,15/04/16,"LINK",370,35,19,,
"Serie 4",,16/04/16,"LINK",594,25,19,,
"Serie 4",,17/04/16,"VIDEO",1400,46,42,19000,
"Serie 4",,17/04/16,"FOTO",1900,34,40,,
"Serie 4",,18/04/16,"VIDEO",876,19,15,10000,
"Serie 4",,18/04/16,"VIDEO",2600,110,129,31000,
"Serie 4",,19/04/16,"LINK",909,27,23,,
"Serie 4",,20/04/16,"FOTO",610,21,28,,
"Serie 4","5x1",21/04/16,"VIDEO",681,40,64,6400,"#TheCatch"
"Serie 4",,21/04/16,"VIDEO",1000,20,32,13000,"#TheCatch"
"Serie 4",,22/04/16,"VIDEO",473,7,2,6500,
"Serie 4",,22/04/16,"VIDEO",902,35,15,10000,
"Serie 4",,22/04/16,"GIF",1400,64,46,,
"Serie 4",,22/04/16,"VIDEO",1500,69,54,14000,
"Serie 4",,22/04/16,"LINK",334,33,13,,"#TheCatch"
"Serie 4",,23/04/16,"VIDEO",799,44,51,7500,
"Serie 4",,24/04/16,"VIDEO",3000,139,136,39000,
"Serie 4",,25/04/16,"VIDEO",1200,27,27,13000,
"Serie 4",,26/04/16,"LINK",494,15,20,,
"Serie 4",,27/04/16,"LINK",1200,49,34,,
"Serie 4",,27/04/16,"FOTO",1300,79,44,,"#TheCatch"
"Serie 4","6x1",28/04/16,"VIDEO",1400,46,65,14000,
"Serie 4",,29/04/16,"VIDEO",597,12,47,6600,
"Serie 4",,29/04/16,"VIDEO",417,11,17,3800,
"Serie 4",,29/04/16,"GIF",633,30,5,,
"Serie 4",,29/04/16,"VIDEO",868,57,34,12000,
"Serie 4",,29/04/16,"VIDEO",1800,89,41,26000,
"Serie 4",,29/04/16,"LINK",224,21,15,,
"Serie 4",,30/04/16,"VIDEO",629,25,46,8000,
"Serie 4",,01/05/16,"VIDEO",1500,51,59,16000,
"Serie 4",,02/05/16,"VIDEO",1100,26,26,12000,
"Serie 4",,03/05/16,"VIDEO",321,9,12,3000,
"Serie 4",,04/05/16,"LINK",363,7,16,,
"Serie 4","7x1 ",05/05/16,"LINK",1100,17,26,,
"Serie 4",,06/05/16,"VIDEO",449,25,29,5000,
"Serie 4",,06/05/16,"VIDEO",978,30,36,9600,
"Serie 4",,06/05/16,"FOTO",1500,111,30,,
"Serie 4",,06/05/16,"VIDEO",1300,59,49,15000,
"Serie 4",,06/05/16,"LINK",279,17,16,,
"Serie 4",,07/05/16,"VIDEO",1100,41,66,10000,
"Serie 4",,08/05/16,"VIDEO",838,24,25,15000,
"Serie 4",,09/05/16,"VIDEO",1400,35,44,13000,
"Serie 4",,10/05/16,"LINK",1100,50,36,,
"Serie 4",,10/05/16,"VIDEO",980,17,31,19000,
"Serie 4",,11/05/16,"LINK",380,12,26,,
"Serie 4","8x1",12/05/16,"VIDEO",1400,37,49,17000,
"Serie 4",,13/05/16,"FOTO",10000,697,720,,
"Serie 4",,13/05/16,"VIDEO",1200,35,31,11000,
"Serie 4",,13/05/16,"VIDEO",802,19,27,11000,
"Serie 4",,13/05/16,"FOTO",932,26,4,,"#TheCatch"
"Serie 4",,13/05/16,"VIDEO",2000,88,132,26000,
"Serie 4",,13/05/16,"LINK",477,27,2,,
"Serie 4",,14/05/16,"FOTO",1800,80,19,,
"Serie 4",,14/05/16,"VIDEO",1800,89,130,26000,
"Serie 4",,15/05/16,"VIDEO",1000,37,34,11000,
"Serie 4",,16/05/16,"VIDEO",1200,27,32,12000,
"Serie 4",,17/05/16,"VIDEO",1100,14,42,13000,
"Serie 4",,18/05/16,"VIDEO",3000,90,181,247000,"#TheCatch"
"Serie 4",,18/05/16,"VIDEO",1800,57,146,125000,"#TheCatch"
"Serie 4",,18/05/16,"VIDEO",2000,59,86,26000,
"Serie 4","9x1 10x1 ",19/05/16,"LINK",574,14,29,,"#TheCatch"
"Serie 4",,19/05/16,"VIDEO",1200,18,46,12000,
"Serie 4",,19/05/16,"VIDEO",5600,208,371,1200000,"#TheCatch"
"Serie 4",,19/05/16,"VIDEO",1300,36,58,10000,
"Serie 4",,20/05/16,"VIDEO",1500,53,73,18000,
"Serie 4",,20/05/16,"FOTO",868,87,29,,
"Serie 4",,20/05/16,"VIDEO",4300,299,299,58000,
"Serie 4",,21/05/16,"VIDEO",2600,142,91,23000,
"Serie 4",,22/05/16,"LINK",1500,108,45,,
